,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
log_lik[6559],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6560],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6561],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6562],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6563],-0.979194,0.0041015,0.224031,0.154778,-1.42586,-0.923345,-0.744477,3215.33,1588.69,0.999885
log_lik[6564],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6565],-1.00935,0.00446984,0.245441,0.176042,-1.48226,-0.945563,-0.751125,3413.67,1687.6,1.00061
log_lik[6566],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6567],-2.61721,0.0127855,0.655218,0.62112,-3.90679,-2.46969,-1.86673,3225.81,1401.33,0.999669
log_lik[6568],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6569],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6570],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6571],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6572],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6573],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6574],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6575],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6576],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6577],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6578],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6579],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6580],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6581],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6582],-0.985749,0.00586014,0.281381,0.157934,-1.50847,-0.905855,-0.730975,2955.73,1503.35,1.00073
log_lik[6583],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6584],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6585],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6586],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6587],-0.966789,0.00458442,0.225813,0.148021,-1.38303,-0.913237,-0.73299,2695.91,1865.69,1.00222
log_lik[6588],-0.980262,0.00539924,0.261878,0.155683,-1.42492,-0.912913,-0.736542,2630.05,1565.56,1.00083
log_lik[6589],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
